Time (0.2 sec),Price
2408,1271.4
2409,1271.4
2410,1271.4
2411,1271.4
2412,1271.4
2413,1271.4
2414,1271.2
2415,1271.2
2416,1271.2
2417,1271.2
2418,1271.2
2419,1271.2
2420,1271.2
2421,1271.2
2422,1271.2
2423,1271.2
2424,1271.2
2425,1271.2
2426,1271.2
2427,1271.2
2428,1271.2
2429,1271.2
2430,1271.2
2431,1271.2
2432,1271.2
2433,1271.2
2434,1271.2
2435,1271.2
2436,1271.2
2437,1271.2
2438,1271.2
2439,1271.2
2440,1271.2
2441,1271.2
2442,1271.2
2443,1271.2
2444,1271.4
2445,1271.4
2446,1271.4
2447,1271.4
2448,1271.4
2449,1271.4
2450,1271.4
2451,1271.4
2452,1271.4
2453,1271.4
2454,1271.2
2455,1271.2
2456,1271.2
2457,1271.2
2458,1271.2
2459,1271.2
2460,1271.2
2461,1271.2
2462,1271.2
2463,1271.2
2464,1271.2
2465,1271.2
2466,1271.2
2467,1271.2
2468,1271.2
2469,1271.2
2470,1271.2
2471,1271.6
2472,1271.6
2473,1271.6
2474,1271.6
2475,1271.6
2476,1271.6
2477,1271.6
2478,1271.6
2479,1271.6
2480,1271.6
2481,1271.6
2482,1271.6
2483,1271.6
2484,1271.6
2485,1271.6
2486,1271.6
2487,1271.8
2488,1271.8
2489,1271.8
2490,1271.8
2491,1271.8
2492,1271.8
2493,1271.8
2494,1271.8
2495,1271.8
2496,1271.8
2497,1271.8
2498,1271.8
2499,1271.8
2500,1271.8
2501,1271.8
2502,1271.8
2503,1271.8
2504,1271.8
2505,1271.8
2506,1271.8
2507,1271.8
2508,1271.8
2509,1271.8
2510,1271.8
2511,1271.8
2512,1271.8
2513,1271.8
2514,1271.8
2515,1271.8
2516,1271.8
2517,1271.8
2518,1271.8
2519,1271.6
2520,1271.6
2521,1271.6
2522,1271.6
2523,1271.6
2524,1271.2
2525,1271.2
2526,1271.2
2527,1271.2
2528,1271.2
2529,1271.2
2530,1271.6
2531,1271.6
2532,1271.6
2533,1271.6
2534,1271.6
2535,1271.6
2536,1271.6
2537,1271.6
2538,1271.6
2539,1271.6
2540,1271.6
2541,1271.6
2542,1271.6
2543,1271.6
2544,1271.6
2545,1271.6
2546,1271.6
2547,1271.6
2548,1271.6
2549,1271.6
2550,1271.6
2551,1271.8
2552,1271.8
2553,1271.8
2554,1271.4
2555,1271.4
2556,1271.4
2557,1271.4
2558,1271.4
2559,1271.4
2560,1271.4
2561,1271.8
2562,1271.8
2563,1271.8
2564,1271.8
2565,1271.8
2566,1271.8
2567,1271.8
2568,1271.8
2569,1271.8
2570,1271.8
2571,1271.8
2572,1271.8
2573,1271.4
2574,1271.4
2575,1271.4
2576,1271.4
2577,1271.4
2578,1271.4
2579,1271.4
2580,1271.4
2581,1271.4
2582,1271.4
2583,1271.4
2584,1271.4
2585,1271.4
2586,1271.4
2587,1271.4
2588,1271.4
2589,1271.8
2590,1271.8
2591,1271.8
2592,1271.8
2593,1271.8
2594,1271.8
2595,1271.8
2596,1271.8
2597,1271.8
2598,1271.8
2599,1271.8
2600,1271.8
2601,1271.8
2602,1271.8
2603,1271.2
2604,1271.2
2605,1271.2
2606,1271.2
2607,1271.2
2608,1271.2
2609,1271.2
2610,1271.2
2611,1271.2
2612,1271.2
2613,1270.8
2614,1270.8
2615,1270.8
2616,1270.8
2617,1270.8
2618,1270.8
2619,1270.8
2620,1270.8
2621,1270.8
2622,1270.8
2623,1270.8
2624,1270.8
2625,1270.8
2626,1270.8
2627,1270.8
2628,1270.8
2629,1270.8
2630,1270.8
2631,1270.8
2632,1270.8
2633,1270.8
2634,1270.8
2635,1270.8
2636,1270.8
2637,1270.8
2638,1270.8
2639,1270.8
2640,1270.8
2641,1270.8
2642,1270.8
2643,1271.2
2644,1271.2
2645,1271.2
2646,1271.2
2647,1271.2
2648,1270.8
2649,1270.8
2650,1270.8
2651,1270.8
2652,1270.8
2653,1270.8
2654,1271.4
2655,1271.4
2656,1271.4
2657,1271.4
2658,1271.4
2659,1271.4
2660,1271.4
2661,1271.4
2662,1271.4
2663,1271.4
2664,1271.4
2665,1271.4
2666,1271.4
2667,1271.4
2668,1271.4
2669,1271.4
2670,1271.4
2671,1271.4
2672,1271.4
2673,1271.4
2674,1271.4
2675,1271.4
2676,1271.4
2677,1271.4
2678,1271.4
2679,1271.4
2680,1271.4
2681,1271.4
2682,1271.4
2683,1271.4
2684,1271.4
2685,1271.4
2686,1271.4
2687,1271.6
2688,1271.2
2689,1271.2
2690,1271.2
2691,1271.2
2692,1271.2
2693,1271.2
2694,1271.2
2695,1271.6
2696,1271.6
2697,1271.6
2698,1271.6
2699,1271.6
2700,1271.6
2701,1271.6
2702,1271.6
2703,1271.6
2704,1271.6
2705,1271.6
2706,1271.6
2707,1271.6
2708,1271.6
2709,1271.6
2710,1271.6
2711,1271.6
2712,1271.6
2713,1271.6
2714,1271.6
2715,1271.6
2716,1271.6
2717,1271.6
2718,1271.6
2719,1271.6
2720,1271.6
2721,1271.6
2722,1271.6
2723,1271.6
2724,1271.6
2725,1271.6
2726,1271.6
2727,1271.6
2728,1271.6
2729,1271.6
2730,1271.6
2731,1271.6
2732,1271.6
2733,1271.4
2734,1271.4
2735,1271.4
